Date,Stock Code,Board,Previous Price,Last Price,Open Price,High Price,Low Price,Volume,Value
2024-12-04,AALI,RG,6250.00,6125.00,6275.00,6125.00,6125.00,552400,3443660000
2024-12-04,ABBA,RG,31.00,30.00,31.00,30.00,29.00,1983600,61406100
2024-12-04,ABDA,RG,4060.00,0.00,0.00,0.00,4060.00,0,0
2024-12-04,ABMM,RG,3550.00,3490.00,3600.00,3490.00,3480.00,1010000,3578163000
2024-12-04,ACES,RG,770.00,765.00,780.00,745.00,760.00,49077700,37709491500
2024-12-04,ACRO,RG,72.00,71.00,73.00,70.00,71.00,820700,58051600
2024-12-04,ACST,RG,99.00,98.00,100.00,97.00,98.00,1432800,141296300
2024-12-04,ADCP,RG,50.00,50.00,50.00,50.00,50.00,220200,11010000
2024-12-04,ADES,RG,9425.00,9350.00,9725.00,9350.00,9350.00,20600,196177500
2024-12-04,ADHI,RG,258.00,250.00,258.00,250.00,250.00,8426100,2140039000
2024-12-04,ADMF,RG,10225.00,10200.00,10225.00,10125.00,10100.00,17000,173127500
2024-12-04,ADMG,RG,117.00,118.00,122.00,111.00,118.00,107600,12436000
2024-12-04,ADMR,RG,1275.00,1270.00,1280.00,1255.00,1250.00,15160500,19236465000
2024-12-04,ADRO,RG,2360.00,2370.00,2380.00,2300.00,2360.00,128644700,300599476000
2024-12-04,AGAR,RG,224.00,220.00,232.00,200.00,226.00,133200,29335200
2024-12-04,AGII,RG,1595.00,1595.00,1610.00,1580.00,1595.00,17800,28458000
2024-12-04,AGRO,RG,234.00,232.00,238.00,230.00,230.00,12319300,2905365400
2024-12-04,AGRS,RG,79.00,79.00,80.00,77.00,78.00,5457400,427752700
2024-12-04,AHAP,RG,93.00,93.00,94.00,90.00,93.00,12374400,1127746100
2024-12-04,AIMS,RG,476.00,462.00,480.00,442.00,462.00,2472900,1175813200
2024-12-04,AISA,RG,118.00,118.00,120.00,117.00,118.00,5835400,691473800
2024-12-04,AKKU,RG,13.00,13.00,13.00,13.00,14.00,1119000,14547000
